2015-08-11 14:55:22.1678 | INFO | 資料未變動 

2015-08-11 14:55:27.2077 | INFO | 資料未變動 

2015-08-11 14:55:32.2869 | INFO | 資料未變動 

2015-08-11 14:55:37.3271 | INFO | 資料未變動 

2015-08-11 14:55:42.3973 | INFO | 資料未變動 

2015-08-11 14:55:47.4298 | INFO | 資料未變動 

2015-08-11 14:55:52.4842 | INFO | 資料未變動 

2015-08-11 14:55:57.5475 | INFO | 資料未變動 

2015-08-11 14:56:02.5863 | INFO | 資料未變動 

2015-08-11 14:56:07.6822 | INFO | 資料未變動 

2015-08-11 14:56:12.7377 | INFO | 資料未變動 

2015-08-11 14:56:17.7852 | INFO | 資料未變動 

2015-08-11 14:56:22.8248 | INFO | 資料未變動 

2015-08-11 14:56:27.8727 | INFO | 資料未變動 

2015-08-11 14:56:32.8891 | INFO | 資料未變動 

2015-08-11 14:56:37.9373 | INFO | 資料未變動 

2015-08-11 14:56:42.9739 | INFO | 資料未變動 

2015-08-11 14:56:48.0692 | INFO | 資料未變動 

2015-08-11 14:56:53.1396 | INFO | 資料未變動 

2015-08-11 14:56:58.1734 | INFO | 資料未變動 

2015-08-11 14:57:03.2075 | INFO | 資料未變動 

2015-08-11 14:57:08.2870 | INFO | 資料未變動 

2015-08-11 14:57:13.3374 | INFO | 資料未變動 

2015-08-11 14:57:18.3766 | INFO | 資料未變動 

2015-08-11 14:57:23.4088 | INFO | 資料未變動 

2015-08-11 14:57:28.4409 | INFO | 資料未變動 

2015-08-11 14:57:33.5370 | INFO | 資料未變動 

2015-08-11 14:57:38.6872 | INFO | 資料未變動 

2015-08-11 14:57:43.7371 | INFO | 資料未變動 

2015-08-11 14:57:48.8082 | INFO | 資料未變動 

2015-08-11 14:57:53.8879 | INFO | 資料未變動 

2015-08-11 14:57:59.0365 | INFO | 資料未變動 

2015-08-11 14:58:04.1161 | INFO | 資料未變動 

2015-08-11 14:58:09.2499 | INFO | 資料未變動 

2015-08-11 14:58:14.3209 | INFO | 資料未變動 

2015-08-11 14:58:19.3850 | INFO | 資料未變動 

2015-08-11 14:58:24.4796 | INFO | 資料未變動 

2015-08-11 14:58:29.5430 | INFO | 資料未變動 

2015-08-11 14:58:34.6319 | INFO | 資料未變動 

2015-08-11 14:58:39.6646 | INFO | 資料未變動 

2015-08-11 14:58:44.7336 | INFO | 資料未變動 

2015-08-11 14:58:49.7970 | INFO | 資料未變動 

2015-08-11 14:58:54.8207 | INFO | 資料未變動 

2015-08-11 14:58:59.8527 | INFO | 資料未變動 

2015-08-11 14:59:04.9850 | INFO | 資料未變動 

2015-08-11 14:59:10.0484 | INFO | 資料未變動 

2015-08-11 14:59:15.0641 | INFO | 資料未變動 

2015-08-11 14:59:20.1431 | INFO | 資料未變動 

2015-08-11 14:59:25.2139 | INFO | 資料未變動 

2015-08-11 14:59:30.3250 | INFO | 資料未變動 

2015-08-11 14:59:35.3887 | INFO | 資料未變動 

2015-08-11 14:59:40.4841 | INFO | 資料未變動 

2015-08-11 14:59:45.5435 | INFO | 資料未變動 

2015-08-11 14:59:50.5912 | INFO | 資料未變動 

2015-08-11 14:59:55.6703 | INFO | 資料未變動 

2015-08-11 15:00:01.3059 | INFO | 資料未變動 

2015-08-11 15:00:06.4260 | INFO | 資料未變動 

2015-08-11 15:00:11.4452 | INFO | 資料未變動 

2015-08-11 15:00:16.4803 | INFO | 資料未變動 

2015-08-11 15:00:21.5143 | INFO | 資料未變動 

2015-08-11 15:00:26.5970 | INFO | 資料未變動 

2015-08-11 15:00:31.7074 | INFO | 資料未變動 

2015-08-11 15:00:36.7706 | INFO | 資料未變動 

2015-08-11 15:00:41.8241 | INFO | 資料未變動 

2015-08-11 15:00:46.8851 | INFO | 資料未變動 

2015-08-11 15:00:51.9251 | INFO | 資料未變動 

2015-08-11 15:00:56.9734 | INFO | 資料未變動 

2015-08-11 15:01:02.0141 | INFO | 資料未變動 

2015-08-11 15:01:07.0478 | INFO | 資料未變動 

2015-08-11 15:01:12.1184 | INFO | 資料未變動 

2015-08-11 15:01:17.1666 | INFO | 資料未變動 

2015-08-11 15:01:22.1999 | INFO | 資料未變動 

2015-08-11 15:01:27.2373 | INFO | 資料未變動 

2015-08-11 15:01:32.2918 | INFO | 資料未變動 

2015-08-11 15:01:37.3250 | INFO | 資料未變動 

2015-08-11 15:01:42.3728 | INFO | 資料未變動 

2015-08-11 15:01:47.4300 | INFO | 資料未變動 

2015-08-11 15:01:52.4781 | INFO | 資料未變動 

2015-08-11 15:01:57.5359 | INFO | 資料未變動 

2015-08-11 15:02:02.6305 | INFO | 資料未變動 

2015-08-11 15:02:07.7019 | INFO | 資料未變動 

2015-08-11 15:02:12.7342 | INFO | 資料未變動 

2015-08-11 15:02:17.7709 | INFO | 資料未變動 

2015-08-11 15:02:22.8187 | INFO | 資料未變動 

2015-08-11 15:02:27.8600 | INFO | 資料未變動 

2015-08-11 15:02:32.9240 | INFO | 資料未變動 

2015-08-11 15:02:37.9574 | INFO | 資料未變動 

2015-08-11 15:02:43.0056 | INFO | 資料未變動 

2015-08-11 15:02:48.0389 | INFO | 資料未變動 

2015-08-11 15:02:53.0723 | INFO | 資料未變動 

2015-08-11 15:02:58.1136 | INFO | 資料未變動 

2015-08-11 15:03:03.1467 | INFO | 資料未變動 

2015-08-11 15:03:08.2532 | INFO | 資料未變動 

2015-08-11 15:03:13.3016 | INFO | 資料未變動 

2015-08-11 15:03:18.3480 | INFO | 資料未變動 

2015-08-11 15:03:23.3806 | INFO | 資料未變動 

2015-08-11 15:03:28.3975 | INFO | 資料未變動 

2015-08-11 15:03:33.4924 | INFO | 資料未變動 

2015-08-11 15:03:38.5405 | INFO | 資料未變動 

2015-08-11 15:03:43.5634 | INFO | 資料未變動 

2015-08-11 15:03:48.5983 | INFO | 資料未變動 

2015-08-11 15:03:53.6392 | INFO | 資料未變動 

2015-08-11 15:03:58.6559 | INFO | 資料未變動 

2015-08-11 15:04:03.7256 | INFO | 資料未變動 

2015-08-11 15:04:08.7889 | INFO | 資料未變動 

2015-08-11 15:04:13.8166 | INFO | 資料未變動 

2015-08-11 15:04:18.8405 | INFO | 資料未變動 

2015-08-11 15:04:23.8727 | INFO | 資料未變動 

2015-08-11 15:04:28.8891 | INFO | 資料未變動 

2015-08-11 15:04:33.9755 | INFO | 資料未變動 

2015-08-11 15:04:39.0234 | INFO | 資料未變動 

2015-08-11 15:04:44.0710 | INFO | 資料未變動 

2015-08-11 15:04:49.1596 | INFO | 資料未變動 

2015-08-11 15:04:54.2241 | INFO | 資料未變動 

2015-08-11 15:04:59.2560 | INFO | 資料未變動 

2015-08-11 15:05:04.3045 | INFO | 資料未變動 

2015-08-11 15:05:09.3437 | INFO | 資料未變動 

2015-08-11 15:05:14.3766 | INFO | 資料未變動 

2015-08-11 15:05:19.4186 | INFO | 資料未變動 

2015-08-11 15:05:24.4629 | INFO | 資料未變動 

2015-08-11 15:05:29.5015 | INFO | 資料未變動 

2015-08-11 15:05:34.5963 | INFO | 資料未變動 

2015-08-11 15:05:39.6438 | INFO | 資料未變動 

2015-08-11 15:05:44.6762 | INFO | 資料未變動 

2015-08-11 15:05:49.7144 | INFO | 資料未變動 

2015-08-11 15:05:54.7795 | INFO | 資料未變動 

2015-08-11 15:05:59.7962 | INFO | 資料未變動 

2015-08-11 15:06:04.8828 | INFO | 資料未變動 

2015-08-11 15:06:09.9801 | INFO | 資料未變動 

2015-08-11 15:06:15.0192 | INFO | 資料未變動 

